,page,sentence
108,5,"Cassia was used for medicinal purposes in ancient China from 2700 bce, and was among the first spices to reach the Mediterranean via the ancient trade routes. The Egyptians used cinnamon as a culinary spice and for its health properties, but it is unclear whether they used cinnamon or cassia. Persians knew cassia and cinnamon as darchini, and used them in savoury and sweet dishes. By the 5th century bce, cassia had been identified as distinct from cinnamon. Medieval English and French cookbooks referred to cassia and cinnamon as ÅgcanellaÅh, but cassiaÅfs coarser flavour saw its status demoted: in his 15th-century book of manners, Bok of Nurture, John Russell wrote that ÅgSynamone is for lords, canelle for common peopleÅh. Today, cassia accounts for nearly 50 per cent of the worldÅfs cinnamon supply, and is a key spice in China and Southeast Asia. It is popular in North America, where most Ågground cinnamonÅh is actually cassia. "
109,5,CHINA (TROPICAL REGIONS) 
110,5,INDIA 
111,5,THAILAND 
112,5,MALAYSIA 
113,5,TAIWAN 
114,5,LAOS 
115,5,VIETNAM 
116,5,INDONESIA 
117,5,"Region of cultivation Cassia is native to the wet tropical forests of southern China. It is cultivated across southern and eastern Asia, but mainly in southern China, Vietnam, and Indonesia. "
118,5,082-083_Cassia.indd   82 
119,5,13/06/2018   16:38 
120,6,Flavour Group | SWEET WARMING PHENOLS | Cassia 
121,6,83 
122,6,Kitchen creativity 
123,6,"Cassia has a sweet, warming taste, but is bitter and lacks the floral, citrus notes of cinnamon. Its deeper, spicier, less subtle flavour is best suited to robustly flavoured savoury dishes, although the spice can be used in sweet baking. "
124,6,BL EN DIN G SCI EN C E 
125,6,"CassiaÅfs flavour profile is dominated by cinnamaldehyde, the compound that gives cinnamon and cassia their recognisable taste. Tannins, which give a mouth-puckering astringency, are also present and it contains coumarin, a phenol absent in ÅgtrueÅh cinnamon, as well as eucalyptus-scented cineole. "
126,6,CASSIA 
127,6,Ca 
128,6,CINNAMALDEHYDE warming  |  sweet  | cinnamon-like 
129,6,CINEOLE penetrating  | eucalyptus  |  fresh 
130,6,"pair with other earthy, bitter, and/or gently warming spices: "
131,6,"carob is sweet, earthy and "
132,6,contains cinnamaldehyde 
133,6,"cumin contributes an earthy, slightly bitter warmth "
134,6,"star anise adds herbal, earthy, and floral notes, and an undercurrent of liquorice "
135,6,ginger brings pungent 
136,6,warmth and sweet citrus notes 
137,6,COUMARIN sweet  |  warming  | grassy 
138,6,combine with other sweet spices for a broader profile: 
139,6,mahleb shares coumarin and gives an almond flavour 
140,6,"nutmeg is a star match, adding bittersweet woodiness "
141,6,vanilla is honey sweet and 
142,6,slightly nutty 
143,6,anise intensifies sweetness 
144,6,and adds herby notes 
145,6,pair with cineole-flavoured spices to enhance eucalyptus nuances: 
146,6,cardamom adds a sweet 
147,6,minty background 
148,6,"bay is rich in cineole and introduces a complex, piney, and floral freshness "
149,6,allspice provides a sweet 
150,6,peppery warmth 
151,6,"grains of Selim has a medicinal flavour and adds pine, floral, and woody notes "
152,6,RE LEA SE THE  FL AVOUR 
153,6,"Most flavour compounds in cassia, including dominant cinnamaldehyde, do not dissolve in water and can struggle to escape from woody barkÅfs matrix. "
154,6,Cassia bark is best ground in an electric grinder 
155,6,Grind cassia just before use to minimize the loss of flavour oils by evaporation. 
156,6,Include fats and/or alcohol in a dish to help disperse flavour compounds. 
157,6,Steam disperses cinnamaldehyde and a water-based dish can be infused with flavour if boiled in a lidded pan. 
158,6,FOOD PARTNERS 
159,6,"Beef, pork Include a piece of cassia "
160,6,"bark with other warming spices in an Italian beef or oxtail ragu, beef rendang, or pork vindaloo. "
161,6,"Pulses, grains Add a piece of cassia bark to the base aromatic ingredients for a pilaf, dhal, or curry. "
162,6,"Baking Create the unmistakable aroma of American iced cinnamon rolls by using ground bark; add ground buds to Christmas confections, fruit cake, and spiced biscuit dough. "
163,6,Preserves Infuse cucumber pickling 
164,6,"brine, tomato chutney, or a barbecue sauce with cassia buds. "
165,6,BLEND TO TRY 
166,6,Use and adapt this classic blend featuring cassia: Garam masala p40 
167,6,Cou mar in  c aut ion 
168,6,Sweet-tasting coumarin can cause temporary liver damage if consumed in excessive amounts. Regular consumers of cinnamon-flavoured foods should therefore choose Ågtrue cinnamonÅh rather than cassia. 
169,6,Children 3.5g (18 oz) 
170,6,Adults 7g (14 oz) 
171,6,"Medical authorities have recommended maximum weekly quantities of cassia, above which it should not be consumed for a long period. "
172,6,082-083_Cassia.indd   83 
173,6,13/06/2018   16:38 
174,7,84 
175,7,Spice Profiles 
176,7,CLOV E Sweet | Astringent | Camphorous 
177,7,BOTANICAL NAME Syzygium aromaticum 
178,7,"ALSO KNOWN AS Nail spice: the common name in many languages translates as Ågnail spiceÅh, due to its shape. "
179,7,MAJOR FLAVOUR COMPOUND Eugenol. 
180,7,PARTS USED Flower bud. 
181,7,Unpicked buds develop into crimson flowers with a creamy froth of stamens 
182,7,"METHOD OF CULTIVATION Twice a year, the flower buds are picked by hand when they have just turned pinky-red and are almost ready to open. "
183,7,COMMERCIAL PREPARATION The buds are dried in the sun until they turn dark brown and harden. 
184,7,"NON-CULINARY USES To flavour kretek cigarettes in Indonesia; in some dental products; and to treat nausea, indigestion, and inflammation. "
185,7,Round tops are the unopened petals of the flower 
186,7,"Whole Look for cloves that are plump, not shrivelled or broken, and where the majority retain their rounded tops. Test for quality by pressing the ÅgstemÅh with a fingernail: oil should ooze out. "
187,7,"Glossy, bay-like leaves are also aromatic "
188,7,"The plant The clove tree is a tropical evergreen, which flourishes in volcanic, loamy soil. Flowers are produced after five years, but the tree can remain productive for 100 years. "
189,7,"Powder Ground cloves quickly lose their flavour, so it is better to buy whole cloves and grind as required. Twelve whole cloves are roughly equivalent to a teaspoon of ground. "
190,7,Spice story 
191,7,"The Moluccas (now Maluku) of Indonesia were once renowned as the Spice Islands thanks to a trio of indigenous spices  cloves, nutmeg, and mace  which were cultivated there, and nowhere else, for almost two millennia. Courtiers addressing the Emperor during the Chinese Hang dynasty (206 bCE220 CE) used cloves to sweeten their breath, and the Romans, who named the spice clavus (Latin for nail), used it as an incense and perfume. In the Middle Ages, clove took off as a culinary spice in the West. At first the Republic of Venice had a virtual monopoly of the lucrative trade, but the Portuguese, Dutch, Spanish, and English fought a series of wars to seize control, with the Dutch eventually winning out. In the 18th century, Frenchman Pierre Poivre managed to smuggle clove seedlings to Mauritius. "
192,7,PAKISTAN 
193,7,INDIA 
194,7,INDONESIA 
195,7,SRI LANKA 
196,7,MALUKU ISLANDS 
197,7,"Region of cultivation Indonesia is the largest producer of cloves, although most of the crop is used by the local kretek cigarette industry. Other major producers are Madagascar and Tanzania, with lesser amounts from India, Sri Lanka and Pakistan. "
198,7,084-085_Clove.indd   84 
199,7,04/06/2018   15:47 
200,8,Flavour Group | SWEET WARMING PHENOLS | Clove 
201,8,85 
202,8,Kitchen creativity 
203,8,"CloveÅfs powerful flavour is usually tamed by blending it with other similarly warming spices to soften its dominance. Antiseptic properties make it a common spice for pickling, but use sparingly. "
204,8,BL EN DIN G SCI EN CE 
205,8,FOOD PARTNERS 
206,8,"Clove has the highest eugenol content of any spice; this perfumed, warming phenol compound has a eucalyptus- like scent and a sweetening effect on the tongue. Woody caryophyllene is the other compound useful for pairing, and the flavour profile is rounded off with green banana-like methyl amylketone and minty methyl salicylate. "
207,8,Tomatoes and red cabbage Add a pinch to tomato sauce or when braising red cabbage. 
208,8,CLOVE 
209,8,Cl 
210,8,EUGENOL medicinal  |  woody  | warming 
211,8,CARYOPHYLLENE woody  |  spicy  | bitter 
212,8,pair with other warming spices that contain some eugenol: 
213,8,draw out the spicier side with more caryophyllene-carrying spices: 
214,8,"allspice provides a sweet, peppery warmth "
215,8,liquorice contributes sweetness and 
216,8,eucalyptus-like notes 
217,8,nutmeg or cinnamon used sparingly adds 
218,8,warm spicy notes 
219,8,bay leaf and fenugreek offer excellent 
220,8,savoury pairings 
221,8,grains of paradise bring a peppery 
222,8,warmth and penetrating spiciness 
223,8,black pepper lends warmth as well 
224,8,as woody notes 
225,8,"cacao adds rich, roasted, bitter flavours "
226,8,"Peaches The fruit shares eugenol, making it a natural partner. Preserve in a sugar syrup infused with cinnamon, fresh ginger, and whole cloves (23 per peach). "
227,8,"Beef and pork Season a beef stew, pork braise, or classic French pot-au-feu with a few whole cloves, or use them in the masala for a Keralan beef curry. "
228,8,Milk Add a clove or two to milk before scalding it to make a white sauce or an Indian kheer or payasam pudding. 
229,8,Hot drinks Infuse tea or coffee with a whole clove for sweetness without the calories. Cloves are also an essential aromatic in mulled wine or cider. 
230,8,BLENDS TO TRY 
231,8,"Try these recipes for classic blends featuring clove, or why not adapt them with some blending science? Pilau masala  p34 Vindaloo paste  p44 Finnish gingerbread spice  p72 "
232,8,RE LEASE THE FLAVOUR 
233,8,"CloveÅfs main flavour compounds, eugenol and caryophyllene, are oil based. They evaporate very quickly once released, and barely dissolve in water. "
234,8,Use whole cloves or grind just before adding to the recipe. 
235,8,Add early to give ample time for the flavour to diffuse out of the woody matrix. 
236,8,Alcohol 
237,8,Oil 
238,8,Some oil/fat and/or alcohol is needed to distribute the flavour compounds. 
239,8,084-085_Clove.indd   85 
240,8,13/07/2018   11:42 
241,9,86 
242,9,Spice Profiles 
243,9,ALLSPIC E Warm | Peppery | Sweet 
244,9,BOTANICAL NAME Pimenta dioica 
245,9,"ALSO KNOWN AS Jamaican pepper, clove pepper, pimento. "
246,9,"METHOD OF CULTIVATION Twigs bearing bunches of berries are handpicked from trees in summer, when the berries are mature but still green. "
247,9,MAJOR FLAVOUR COMPOUND Eugenol. 
248,9,"COMMERCIAL PREPARATION Berries are ÅgsweatedÅh (see vanilla curing, p100) and then dried for several days in the sun, or artificially, before being picked. "
249,9,PARTS USED Dried berries; occasionally fresh leaves. 
250,9,NON-CULINARY USES Essential oil in perfumes and cosmetics; flavouring agent in medicines; pesticide and fungicide; antiseptic and digestive aid. 
251,9,"The plant Allspice is an evergreen tree in the myrtle family. It starts fruiting by the age of 7 or 8 years, and continues for up to 100 years. "
252,9,"Powder Ground allspice quickly loses its potency. Buy in small quantities and keep sealed in a cool, dark place for up to 6 months. "
253,9,"Berries ripen to dark purple if left on the tree, but lose most of their aroma "
254,9,"Whole The dried berries retain their flavour well and will keep almost indefinitely sealed in a cool, dark place. "
255,9,Rough surface contains tiny oil glands 
256,9,"Most flavour is concentrated in the wrinkled husk (or ÅgpericarpÅh), not the seeds "
257,9,Glossy leaves are used in the Caribbean for stuffing meat 
258,9,Spice story 
259,9,"The Mayans of Central America were using allspice from at least 2,000 BCE to embalm their dead, alleviate arthritis, and flavour chocolate beverages, while the indigenous peoples of the Caribbean used it to preserve meat and fish. Christopher Columbus was the first European to encounter the spice, in Jamaica in 1494, but mistook it for a variety of pepper, hence its Spanish name pimento. From the outset, Europeans were enamoured of its preservative powers, and the spice is used as a preservative in the Scandinavian fishing industry to this day. When Russia was invaded by Napoleon in the early 19th century, the Russian troops crushed allspice berries inside their boots to ward off bacterial and fungal foot infections. "
260,9,MEXICO 
261,9,JAMAICA 
262,9,GUATEMALA 
263,9,HONDURAS 
264,9,"Region of cultivation Native to the West Indies, Mexico, and Central America, allspice is mainly cultivated in Jamaica, but also in Honduras, Mexico, Guatemala, Hawaii, and Tonga. "
265,9,086-087_Allspice.indd   86 
266,9,04/06/2018   15:47 
267,10,Flavour Group | SWEET WARMING PHENOLS | Allspice 
268,10,87 
269,10,Kitchen creativity 
270,10,"True to its name, this full-bodied, versatile spice suits both sweet and savoury dishes, and blends comfortably with other spices. Allspice forms the backbone of Jamaican cuisine and is a key component of jerk seasoning. "
271,10,BL EN DI NG SCIE NCE 
272,10,"Allspice partners with other spices that share the phenolic compound eugenol, which carries a strongly medicinal aroma. Other cineole-bearing spices with a eucalyptus-like, penetrating quality also pair well. Lesser amounts of the lighter terpenes phellandrene, linalool, myrcene, and pinene round off the taste profile. "
273,10,ALLSPICE 
274,10,Al 
275,10,EUGENOL medicinal  |  woody  | warming 
276,10,LINALOOL floral  |  woody  | spicy 
277,10,CINEOLE eucalyptus  | medicinal  | penetrating 
278,10,PHELLANDRENE peppery  |  mint  | mildly citrus 
279,10,FOOD PARTNERS 
280,10,Raw fish Combine with 
281,10,"mustard seeds as a pickling spice for raw fish, such as herring, or in Mexican escabeche. "
282,10,"Sweet vegetables To bring out the natural sweetness in vegetables, try it in a tomato sauce or soup, a beetroot borscht, or pured sweet potato. "
283,10,Red meats Stir ground spice into beef stews (particularly tomato-based) and pork or game pt mixtures. 
284,10,"Stone fruit and rhubarb Sprinkle a pinch of ground allspice into the pan when poaching plums, apples, pears, or rhubarb. "
285,10,Sweet bakes Add a pinch to biscuit 
286,10,"dough, ginger cake, milk puddings, or steam puddings. "
287,10,bring more complexity to the eugenol spectrum: 
288,10,nutmeg and 
289,10,cinnamon will draw out warmer notes 
290,10,liquorice 
291,10,emphasizes sweetly medicinal flavours 
292,10,"bay has a fresher, floral take on eugenol "
293,10,"combine with other cineoles to reinforce the sharp, fresh notes: "
294,10,galangal will 
295,10,provide a citrusy edge 
296,10,cardamom brings a penetrating warmth 
297,10,black cardamom 
298,10,adds a smoky layer under the eucalyptus 
299,10,give a boost to the peppery profile: 
300,10,star anise also shares cineole for sweet aniseed piquancy 
301,10,black pepper contributes a gentle pungent heat 
302,10,tap into the fragrant floral side with other linalools: 
303,10,coriander also adds zesty citrus notes 
304,10,grains of Selim also share cineole and enhance the peppery side of allspice 
305,10,BLENDS TO TRY 
306,10,"Try these recipes for classic blends featuring allspice, or why not adapt them with some blending science? Arabic baharat  p26 Jamaican jerk rub  p64 Mulling spice  p73 "
307,10,REL EASE THE  FL AVOU R 
308,10,"Extra layers of smoky, roasted aromas from pyrazines can be created by cracking and toasting the whole spice before grinding. "
309,10,Flavour compounds are concentrated in the shell 
310,10,130ÅãC (266ÅãF)  180ÅãC (356ÅãF) 
311,10,"Before toasting, crush the berries lightly in a pestle and mortar to crack the shells. "
312,10,"Cracking the shells helps to release the flavour oils, which are stored in tiny glands. "
313,10,"Toast in a dry frying pan. New flavour compounds, such as pyrazines, form above 130ÅãC (266ÅãF), but at 180ÅãC (356ÅãF) burnt flavours dominate. "
314,10,086-087_Allspice.indd   87 
315,10,04/06/2018   15:47 
316,11,88 
317,11,Spice Profiles 
318,11,ANI SE Camphorous | Sweet | Warming 
319,11,BOTANICAL NAME Pimpinella anisum 
320,11,"METHOD OF CULTIVATION Grown as an annual crop, plants are pulled up or mown when the fruits ripen. "
321,11,"ALSO KNOWN AS Aniseed, sweet cumin, white anise. "
322,11,"MAJOR FLAVOUR COMPOUNDS Anethole, anisyl alcohol. "
323,11,PARTS USED Fleshless fruits housing small seeds. 
324,11,"COMMERCIAL PREPARATION Fruits are left to dry for a week, then threshed to separate the flower heads. "
325,11,"NON-CULINARY USES The essential oil is used in cough medicine, perfumes, and soaps. Also known as a traditional remedy for trapped wind and headaches. "
326,11,"The plant Anise is a frost-sensitive, non-woody plant. The flowers bloom in midsummer, and develop into ripe fruits a month or two later. Anise thrives in a light, alkaline soil. "
327,11,Small flowers are yellow-white and clustered in umbels 
328,11,"Seeds often retain bits of stalk, but excessive stalk indicates sub- standard quality "
329,11,Check that seeds are free of dust 
330,11,Spice story 
331,11,"Records show ancient Egyptians using anise as a cure for snake bites, but it was the Romans who really developed a fondness for its intensely sweet, liquorice-like taste, drawing on anise to flavour everything from the provisions of a lowly centurion to the spiced wine conditum and rich cake mustaceoe served at special banquets. Anise endured as a popular kitchen garden plant into the Middle Ages, especially in the Pyrenees, where monks produced an anise-flavoured liqueur that the French drank as an aperitif and also added to stews and stocks. Today, several liqueurs are still flavoured with aniseÅfs essential oil, including French pastis, Greek ouzo, Turkish raki, and Arab arrak. Anise has also long been regarded as an effective aid to digestion; in India today the fruits are commonly chewed whole after meals. "
332,11,EASTERN MEDITERRANEAN 
333,11,GREECE 
334,11,EGYPT 
335,11,MIDDLE EAST 
336,11,Fern-like leaves have a subtle flavour and can be used as a herb 
337,11,"Whole The brown-green oval seeds are best bought whole and ground as required. Seeds will keep for up to two years in a sealed container. Wild black anise from Calabria in Italy is sweeter and less bitter than standard anise, but much harder to source. "
338,11,"Region of cultivation Anise is cultivated widely in its native region of the eastern Mediterranean, Egypt, and the Middle East, and commercial crops are now grown as far afield as the Baltic countries and Latin America. Cultivation has also spread east to India, China, and Japan. "
339,11,088-089_Anise.indd   88 
340,11,04/06/2018   15:47 
